@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
18,5,MQ,ORD,2,1,?
21,1,B6,JFK,2,0,?
15,2,EV,DFW,1,0,?
8,2,B6,BOS,1,9,?
20,7,AA,ORD,2,3,?
19,6,B6,JFK,0,9,?
4,5,OO,ORD,2,0,?
23,3,OO,LAX,0,1,?
30,3,B6,BOS,2,0,?
10,4,MQ,ORD,1,1,?
14,1,OO,LAX,0,0,?
29,2,AA,ORD,2,1,?
10,4,AA,BOS,2,0,?
11,5,UA,ORD,2,1,?
1,2,WN,DEN,2,1,?
16,3,OO,DEN,2,2,?
8,2,B6,BOS,2,3,?
8,2,EV,EWR,0,2,?
16,3,DL,LAX,2,3,?
4,5,OO,DEN,0,0,?
14,1,B6,BOS,2,4,?
28,1,AA,DEN,0,6,?
23,3,UA,ORD,1,2,?
10,4,AA,DFW,2,4,?
17,4,UA,ORD,2,2,?
10,4,DL,JFK,0,0,?
29,2,OO,ORD,2,3,?
1,2,AA,LAX,1,10,?
3,4,UA,ORD,2,2,?
27,7,UA,EWR,2,2,?
3,4,AA,DFW,2,4,?
12,6,OO,ORD,1,0,?
4,5,WN,DEN,1,2,?
16,3,DL,LAX,2,1,?
4,5,AA,ORD,2,2,?
2,3,B6,JFK,1,4,?
18,5,UA,EWR,2,10,?
12,6,AA,EWR,0,2,?
2,3,UA,ORD,2,3,?
15,2,UA,ORD,1,7,?
30,3,EV,EWR,1,1,?
7,1,UA,ORD,1,3,?
5,6,AA,LAX,1,10,?
2,3,UA,EWR,2,5,?
29,2,WN,DEN,1,2,?
13,7,DL,JFK,1,3,?
16,3,AA,LAX,1,4,?
3,4,WN,DEN,0,1,?
17,4,B6,BOS,1,0,?
26,6,WN,DEN,1,2,?
21,1,AA,DFW,2,4,?
21,1,AA,DFW,1,4,?
9,3,EV,EWR,2,2,?
20,7,OO,DEN,2,1,?
17,4,AA,ORD,1,2,?
25,5,UA,ORD,1,2,?
4,5,WN,BOS,1,2,?
4,5,EV,EWR,2,1,?
3,4,EV,EWR,2,0,?
30,3,WN,DEN,2,2,?
9,3,EV,DFW,2,1,?
11,5,WN,EWR,2,2,?
11,5,UA,ORD,2,2,?
28,1,WN,EWR,1,2,?
5,6,AA,LAX,0,6,?
4,5,AA,DFW,2,5,?
16,3,MQ,EWR,1,2,?
3,4,AA,LAX,1,9,?
24,4,AA,DEN,1,5,?
22,2,OO,LAX,1,2,?
10,4,UA,BOS,1,7,?
28,1,AA,JFK,2,9,?
11,5,B6,JFK,1,3,?
28,1,AA,DFW,2,4,?
7,1,AA,ORD,1,1,?
1,2,B6,EWR,1,3,?
9,3,UA,DEN,2,3,?
10,4,AA,DFW,2,3,?
14,1,AA,BOS,1,0,?
