@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
18,5,MQ,ORD,2,1,delayed
21,1,B6,JFK,2,0,delayed
15,2,EV,DFW,1,0,notdelayed
8,2,B6,BOS,1,9,notdelayed
20,7,AA,ORD,2,3,delayed
19,6,B6,JFK,0,9,notdelayed
4,5,OO,ORD,2,0,notdelayed
23,3,OO,LAX,0,1,notdelayed
30,3,B6,BOS,2,0,delayed
10,4,MQ,ORD,1,1,delayed
14,1,OO,LAX,0,0,notdelayed
29,2,AA,ORD,2,1,notdelayed
10,4,AA,BOS,2,0,notdelayed
11,5,UA,ORD,2,1,delayed
1,2,WN,DEN,2,1,delayed
16,3,OO,DEN,2,2,notdelayed
8,2,B6,BOS,2,3,delayed
8,2,EV,EWR,0,2,notdelayed
16,3,DL,LAX,2,3,delayed
4,5,OO,DEN,0,0,notdelayed
14,1,B6,BOS,2,4,notdelayed
28,1,AA,DEN,0,6,delayed
23,3,UA,ORD,1,2,notdelayed
10,4,AA,DFW,2,4,notdelayed
17,4,UA,ORD,2,2,delayed
10,4,DL,JFK,0,0,delayed
29,2,OO,ORD,2,3,delayed
1,2,AA,LAX,1,10,delayed
3,4,UA,ORD,2,2,notdelayed
27,7,UA,EWR,2,2,notdelayed
3,4,AA,DFW,2,4,delayed
12,6,OO,ORD,1,0,notdelayed
4,5,WN,DEN,1,2,notdelayed
16,3,DL,LAX,2,1,delayed
4,5,AA,ORD,2,2,delayed
2,3,B6,JFK,1,4,delayed
18,5,UA,EWR,2,10,delayed
12,6,AA,EWR,0,2,notdelayed
2,3,UA,ORD,2,3,notdelayed
15,2,UA,ORD,1,7,notdelayed
30,3,EV,EWR,1,1,delayed
7,1,UA,ORD,1,3,notdelayed
5,6,AA,LAX,1,10,notdelayed
2,3,UA,EWR,2,5,notdelayed
29,2,WN,DEN,1,2,delayed
13,7,DL,JFK,1,3,delayed
16,3,AA,LAX,1,4,notdelayed
3,4,WN,DEN,0,1,delayed
17,4,B6,BOS,1,0,notdelayed
26,6,WN,DEN,1,2,delayed
21,1,AA,DFW,2,4,delayed
21,1,AA,DFW,1,4,delayed
9,3,EV,EWR,2,2,delayed
20,7,OO,DEN,2,1,delayed
17,4,AA,ORD,1,2,delayed
25,5,UA,ORD,1,2,notdelayed
